0,1
"['the', 'leader', 'have', 'now', 'be', 'give', 'a', 'new', 'chance', 'and', 'let', 'us', 'hope', 'they', 'seize', 'it']","['the', 'leader', 'benefit', 'aujourd', 'hui', 'of', 'a', 'new', 'luck', 'and', 'let', 's', 'let', 'them', 'therefore', 'seize', 'it']"
"['amendment', 'no', '7', 'propose', 'certain', 'change', 'in', 'the', 'reference', 'to', 'paragraph']","['amendment', 'no', '7', 'be', 'propose', 'certain', 'change', 'in', 'the', 'reference', 'to', 'paragraph']"
"['let', 'me', 'remind', 'you', 'that', 'our', 'ally', 'include', 'fervent', 'supporter', 'of', 'this', 'tax']","['i', 'would', 'like', 'to', 'remind', 'you', 'that', 'among', 'our', 'ally', ',', 'there', 'be', 'strong', 'of', 'this', 'tax']"
"['the', 'vote', 'will', 'take', 'place', 'today', 'at', '5', '30', 'p', 'm']","['the', 'vote', 'will', 'take', 'place', 'at', '5', '30pm']"
"['the', 'fisherman', 'be', 'inactive', ',', 'tired', 'and', 'disappointed']","['the', 'fisherman', 'be', 'inactive', ',', 'tired', 'and', 'disappointed']"
"['neither', 'be', 'there', 'a', 'qualified', 'majority', 'within', 'this', 'house', 'to', 'revert', 'to', 'article', '272']","['there', 'be', 'not', 'a', 'majority', 'voting', 'in', 'parliament', 'to', 'go', 'back', 'to', 'article', '272']"
"['it', 'increase', 'the', 'power', 'of', 'the', 'big', 'country', 'at', 'the', 'expense', 'of', 'the', 'small', 'country']","['it', 'have', 'the', 'effect', 'of', 'augment', 'the', 'potency', 'of', 'the', 'big', 'country', 'to', 'the', 'detriment', 'of', 'baby']"
"['the', 'fisherman', 'be', 'inactive', ',', 'tired', 'and', 'disappointed']","['the', 'fisher', 'be', 'inactive', ',', 'tired', 'and', 'disappointed']"
"['the', 'leader', 'have', 'now', 'be', 'give', 'a', 'new', 'chance', 'and', 'let', 'us', 'hope', 'they', 'seize', 'it']","['leaders', 'now', 'have', 'another', 'chance', 'to', 'let', 'them', 'and', 'therefore', 'take']"
"['the', 'vote', 'will', 'take', 'place', 'today', 'at', '5', '30', 'p', 'm']","['the', 'vote', 'will', 'take', 'place', 'at', '17h30']"
"['there', 'must', 'be', 'a', 'balance', 'as', 'a', 'whole']","['the', 'body', 'must', 'be', 'in', 'balance']"
"['we', 'often', 'pontificate', 'here', 'about', 'be', 'the', 'representative', 'of', 'the', 'citizen', 'of', 'europe']","['we', 'be', 'proud', 'often', 'here', 'to', 'represent', 'the', 'citizen', 'of', 'europe']"
"['parliament', 'adopt', 'the', 'legislative', 'resolution']","['the', 'parliament', 'adopts', 'legislative', 'resolution']"
"['the', 'leader', 'have', 'now', 'be', 'give', 'a', 'new', 'chance', 'and', 'let', 'us', 'hope', 'they', 'seize', 'it']","['the', 'leader', 'benefit', 'aujourd', 'hui', 'd', 'a', 'new', 'chance', 'and', 'therefore', 'let', 'us', 'let', 'them', 'it', 'grab']"
"['i', 'be', 'one', 'of', 'those', 'members', 'who', 'attend', 'sitting', 'quite', 'faithfully']","['i', 'belong', 'to', 'the', 'members', 'who', 'be', 'present', 'rather', 'honourably']"
['tunisia'],['tunisia']
"['neither', 'be', 'there', 'a', 'qualified', 'majority', 'within', 'this', 'house', 'to', 'revert', 'to', 'article', '272']","['it', 'do', 'not', 'not', 'more', 'of', 'the', 'qualified', 'majority', 'in', 'this', 'parliament', 'to', 'return', 'to', 'the', 'article', '272']"
"['as', 'i', 'already', 'explain', 'during', 'second', 'reading', ',', 'there', 'be', 'a', 'crisis', 'underlie', 'this', 'directive', 'amendment']","['as', 'i', 'have', 'already', 'explain', ',', 'at', 'second', 'reading', ',', 'a', 'crisis', 'be', 'at', 'the', 'root', 'of', 'this', 'modification', 'of', 'directive']"
"['mr', 'president', ',', 'the', 'cashman', 'report', 'can', 'be', 'summarise', 'in', 'four', 'word', 'citizen', 'power', 'over', 'bureaucracy']","['mr', 'president', ',', 'the', 'cashman', 'report', 'can', 'be', 'sum', 'up', 'in', 'a', 'few', 'word', 'the', 'power', 'of', 'citizen', 'on', 'bureaucracy']"
"['amendment', 'no', '7', 'propose', 'certain', 'change', 'in', 'the', 'reference', 'to', 'paragraph']","['amendment', 'no', '7', 'proposes', 'change', 'to', 'certain', 'paragraph', 'reference']"
"['we', 'often', 'pontificate', 'here', 'about', 'be', 'the', 'representative', 'of', 'the', 'citizen', 'of', 'europe']","['we', 'take', 'pride', 'often', 'here', 'to', 'represent', 'the', 'european', 'citizen']"
"['thank', 'you', ',', 'commissioner']","['thank', 'you', ',', 'commissioner']"
"['we', 'often', 'pontificate', 'here', 'about', 'be', 'the', 'representative', 'of', 'the', 'citizen', 'of', 'europe']","['often', 'we', 'be', 'proud', 'of', 'represent', 'europe', 's', 'citizen']"
"['thank', 'you', ',', 'commissioner']","['thank', 'you', ',', 'commissioner']"
"['parliament', 'adopt', 'the', 'legislative', 'resolution']","['parliament', 'adopt', 'the', 'legislative', 'resolution']"
"['let', 'me', 'remind', 'you', 'that', 'our', 'ally', 'include', 'fervent', 'supporter', 'of', 'this', 'tax']","['i', 'want', 'to', 'say', 'to', 'you', 'that', 'among', 'our', 'ally', ',', 'there', 'be', 'fervent', 'of', 'this', 'tax']"
"['let', 'me', 'remind', 'you', 'that', 'our', 'ally', 'include', 'fervent', 'supporter', 'of', 'this', 'tax']","['i', 'insist', 'on', 'remind', 'you', 'that', 'among', 'our', 'ally', ',', 'there', 'be', 'devotee', 'of', 'this', 'tax']"
"['then', 'perhaps', 'we', 'could', 'have', 'avoid', 'a', 'catastrophe']","['perhaps', 'we', 'should', 'have', 'be', 'able', 'to', 'prevent', 'a', 'disaster']"
"['selective', 'aid', ',', 'such', 'as', 'market', 'support', 'and', 'a', 'grass', 'subsidy', ',', 'be', 'essential']","['specific', 'aid', 'as', 'the', 'support', 'of', 'the', 'market', 'or', 'the', 'premium', 'on', 'grass', 'be', 'essential']"
"['it', 'increase', 'the', 'power', 'of', 'the', 'big', 'country', 'at', 'the', 'expense', 'of', 'the', 'small', 'country']","['it', 'have', 'increase', 'the', 'power', 'of', 'the', 'large', 'country', 'to', 'the', 'detriment', 'of', 'small']"
"['that', 'provision', 'could', 'open', 'the', 'door', 'wide', 'to', 'arbitrariness']","['this', 'point', 'of', 'the', 'rule', 'of', 'procedure', 'open', 'the', 'door', 'to', 'the', 'arbitrary']"
"['maij', 'weggen', 'report', 'a5', '0323', '2000']","['relation', 'maij', 'weggen', 'a5', '0323', '2000']"
"['thank', 'you', ',', 'commissioner']","['thank', 'you', ',', 'mister', 'the', 'commissioner']"
"['we', 'often', 'pontificate', 'here', 'about', 'be', 'the', 'representative', 'of', 'the', 'citizen', 'of', 'europe']","['we', 'we', 'take', 'pride', 'often', 'here', 'of', 'represent', 'the', 'european', 'citizen']"
"['it', 'increase', 'the', 'power', 'of', 'the', 'big', 'country', 'at', 'the', 'expense', 'of', 'the', 'small', 'country']","['it', 'have', 'in', 'fact', 'increase', 'the', 'power', 'of', 'large', 'country', 'to', 'the', 'detriment', 'of', 'small']"
"['then', 'perhaps', 'we', 'could', 'have', 'avoid', 'a', 'catastrophe']","['perhaps', 'then', 'we', 'would', 'have', 'avoid', 'a', 'catastrophe']"
"['there', 'must', 'be', 'a', 'balance', 'as', 'a', 'whole']","['group', 'must', 'be', 'in', 'equilibrium']"
"['neither', 'be', 'there', 'a', 'qualified', 'majority', 'within', 'this', 'house', 'to', 'revert', 'to', 'article', '272']","['there', 'be', 'not', 'either', 'qualified', 'majority', 'within', 'this', 'parliament', 'to', 'come', 'back', 'to', 'the', 'article', '272']"
"['amendment', 'no', '7', 'propose', 'certain', 'change', 'in', 'the', 'reference', 'to', 'paragraph']","['amendment', 'no', '7', 'propose', 'certain', 'change', 'in', 'the', 'reference', 'to', 'paragraph']"
"['maij', 'weggen', 'report', 'a5', '0323', '2000']","['maij', 'weggen', 'report', 'a5', '0323', '2000']"
"['mr', 'president', ',', 'i', 'rise', 'in', 'defence', 'of', 'the', 'worker', 'in', 'the', 'industry']","['mr', 'president', ',', 'i', 'wish', 'to', 'take', 'the', 'protection', 'of', 'worker', 'of', 'this', 'sector']"
"['thank', 'you', ',', 'commissioner']","['thank', 'you', ',', 'commissioner']"
"['amendment', 'no', '7', 'propose', 'certain', 'change', 'in', 'the', 'reference', 'to', 'paragraph']","['amendment', '7', 'proposes', 'certain', 'modification', 'in', 'the', 'reference', 'to', 'the', 'paragraph']"
"['the', 'leader', 'have', 'now', 'be', 'give', 'a', 'new', 'chance', 'and', 'let', 'us', 'hope', 'they', 'seize', 'it']","['the', 'leader', 'benefit', 'today', 'of', 'a', 'new', 'chance', 'and', 'thus', 'let', 'the', 'matter']"
"['i', 'be', 'one', 'of', 'those', 'members', 'who', 'attend', 'sitting', 'quite', 'faithfully']","['i', 'be', 'one', 'of', 'the', 'members', 'who', 'be', 'rather', 'honourably', 'here']"
"['the', 'vote', 'will', 'take', 'place', 'today', 'at', '5', '30', 'p', 'm']","['the', 'vote', 'will', 'take', 'place', 'with', '17h30']"
"['it', 'increase', 'the', 'power', 'of', 'the', 'big', 'country', 'at', 'the', 'expense', 'of', 'the', 'small', 'country']","['this', 'have', 'the', 'effect', 'of', 'increase', 'the', 'power', 'of', 'the', 'large', 'country', 'at', 'the', 'expense', 'of', 'small']"
"['the', 'leader', 'have', 'now', 'be', 'give', 'a', 'new', 'chance', 'and', 'let', 'us', 'hope', 'they', 'seize', 'it']","['the', 'leader', 'profit', 'aujourd', 'hui', 'of', 'a', 'new', 'luck', 'and', 'let', 'us', 'leave', 'them', 'therefore', 'to', 'seize', 'it']"
"['thank', 'you', ',', 'commissioner']","['thank', 'you', ',', 'commissioner']"
"['parliament', 'adopt', 'the', 'legislative', 'resolution']","['the', 'parliament', 'adopt', 'the', 'legislative', 'resolution']"
['tunisia'],['tunisia']
"['mr', 'president', ',', 'the', 'cashman', 'report', 'can', 'be', 'summarise', 'in', 'four', 'word', 'citizen', 'power', 'over', 'bureaucracy']","['mr', 'president', ',', 'the', 'cashman', 'report', 'can', 'be', 'summarize', 'in', 'a', 'few', 'word', 'the', 'power', 'of', 'citizen', 'on', 'bureaucracy']"
"['neither', 'be', 'there', 'a', 'qualified', 'majority', 'within', 'this', 'house', 'to', 'revert', 'to', 'article', '272']","['there', 'be', 'no', 'more', 'qualified', 'majority', 'voting', 'in', 'this', 'parliament', 'to', 'come', 'back', 'to', 'article', '272']"
"['neither', 'be', 'there', 'a', 'qualified', 'majority', 'within', 'this', 'house', 'to', 'revert', 'to', 'article', '272']","['it', 'do', 'not', 'be', 'not', 'no', 'longer', 'a', 'majority', 'voting', 'in', 'this', 'parliament', 'to', 'return', 'to', 'the', 'article', '272']"
"['the', 'leader', 'have', 'now', 'be', 'give', 'a', 'new', 'chance', 'and', 'let', 'us', 'hope', 'they', 'seize', 'it']","['given', 'the', 'leader', 'today', 'a', 'new', 'chance', 'and', 'thus', 'let', 'the', 'approach']"
